city,timestamp,date,hour,day,month,weekday,pm2_5,pm10,co,no2,o3,so2,aqi,aqi_change_rate,temperature,humidity,wind_speed,wind_deg
Faisalabad,2026-07-30 03:00:00.000000,2026-07-30,3,30,7,3,34.99,97.48,406.67,8.34,30.34,1.59,99,0.0,,,,
Faisalabad,2026-07-30 04:00:00.000000,2026-07-30,4,30,7,3,37.3,110.12,392.99,7.11,41.75,1.57,105,6.0,,,,
Faisalabad,2026-07-30 05:00:00.000000,2026-07-30,5,30,7,3,44.69,126.08,360.24,5.3,64.83,1.44,124,19.0,,,,
Faisalabad,2026-07-30 06:00:00.000000,2026-07-30,6,30,7,3,55.94,145.39,313.1,3.1,91.1,1.29,151,27.0,,,,
Faisalabad,2026-07-30 07:00:00.000000,2026-07-30,7,30,7,3,43.3,130.94,200.47,1.19,90.25,0.96,120,-31.0,,,,
Faisalabad,2026-07-30 08:00:00.000000,2026-07-30,8,30,7,3,35.69,115.63,166.57,0.83,83.92,0.71,101,-19.0,,,,
Faisalabad,2026-07-30 09:00:00.000000,2026-07-30,9,30,7,3,33.34,109.31,160.37,0.81,82.08,0.59,96,-5.0,,,,
Faisalabad,2026-07-30 10:00:00.000000,2026-07-30,10,30,7,3,33.94,105.14,200.06,2.42,75.64,0.72,97,1.0,,,,
Faisalabad,2026-07-30 11:00:00.000000,2026-07-30,11,30,7,3,36.8,102.21,280.47,5.53,66.76,1.0,104,7.0,,,,
Faisalabad,2026-07-30 12:00:00.000000,2026-07-30,12,30,7,3,39.13,98.67,370.53,10.23,57.33,1.3,110,6.0,,,,
Faisalabad,2026-07-30 13:00:00.000000,2026-07-30,13,30,7,3,41.02,96.57,449.19,14.7,47.77,1.55,115,5.0,,,,
Faisalabad,2026-07-30 14:00:00.000000,2026-07-30,14,30,7,3,42.64,96.44,481.54,15.2,41.08,1.56,119,4.0,,,,
Faisalabad,2026-07-30 15:00:00.000000,2026-07-30,15,30,7,3,42.02,92.86,446.79,12.49,46.36,1.49,117,-2.0,,,,
